"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"C1";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"88";"C";
"C2";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"88";"C";
"C3";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"88";"C";
"C4";"1uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"88";"C";
"D1";"1N5819HW";"1N5819HW";"SOD3716X145N";"1.0A SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER";"";"";"1.0A SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER";"1.45mm";"Diodes Inc.";"1N5819HW";"";"";"";"";
"D2";"1N5819HW";"1N5819HW";"SOD3716X145N";"1.0A SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER";"";"";"1.0A SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER";"1.45mm";"Diodes Inc.";"1N5819HW";"";"";"";"";
"IC1";"SSW-115-01-G-S-LL";"SSW-115-01-G-S-LL";"RHDR15W79P0X254_1X15_3861X241X";"Board to Board & Mezzanine Connectors .100" Tiger Buy  Socket Strip";"SSW-115-01-G-S-LL";"https://www.arrow.com/en/products/ssw-115-01-g-s-ll/samtec?region=nac";"Board to Board & Mezzanine Connectors .100" Tiger Buy  Socket Strip";"8.51mm";"SAMTEC";"SSW-115-01-G-S-LL";"200-SSW11501GSLL";"https://www.mouser.co.uk/ProductDetail/Samtec/SSW-115-01-G-S-LL?qs=rU5fayqh%252BE2DWkaSQZyn6w%3D%3D";"";"";
"IC2";"SSW-115-01-G-S-LL";"SSW-115-01-G-S-LL";"RHDR15W79P0X254_1X15_3861X241X";"Board to Board & Mezzanine Connectors .100" Tiger Buy  Socket Strip";"SSW-115-01-G-S-LL";"https://www.arrow.com/en/products/ssw-115-01-g-s-ll/samtec?region=nac";"Board to Board & Mezzanine Connectors .100" Tiger Buy  Socket Strip";"8.51mm";"SAMTEC";"SSW-115-01-G-S-LL";"200-SSW11501GSLL";"https://www.mouser.co.uk/ProductDetail/Samtec/SSW-115-01-G-S-LL?qs=rU5fayqh%252BE2DWkaSQZyn6w%3D%3D";"";"";
"JP1";"Uno_4";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";"67";"";
"JP2";"Uno_3";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"";"";"";"";"79";"";
"JP3";"Uno_2";"PINHD-1X10";"1X10";"PIN HEADER";"";"";"";"";"";"";"";"";"35";"";
"JP4";"Uno_1";"PINHD-1X8";"1X08";"PIN HEADER";"";"";"";"";"";"";"";"";"67";"";
"L1";"CBC3225T100KR";"CBC3225T100KR";"INDC3225X270N";"Fixed Inductors 1210 10uH 172.9mOhms +/-10% 900mA HiCur";"CBC3225T100KR";"https://www.arrow.com/en/products/cbc3225t100kr/taiyo-yuden";"Fixed Inductors 1210 10uH 172.9mOhms +/-10% 900mA HiCur";"2.7mm";"TAIYO YUDEN";"CBC3225T100KR";"963-CBC3225T100KR";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/CBC3225T100KR?qs=I6KAKw0tg2xBtBHDie3dYA%3D%3D";"";"";
"L2";"CBC3225T100KR";"CBC3225T100KR";"INDC3225X270N";"Fixed Inductors 1210 10uH 172.9mOhms +/-10% 900mA HiCur";"CBC3225T100KR";"https://www.arrow.com/en/products/cbc3225t100kr/taiyo-yuden";"Fixed Inductors 1210 10uH 172.9mOhms +/-10% 900mA HiCur";"2.7mm";"TAIYO YUDEN";"CBC3225T100KR";"963-CBC3225T100KR";"https://www.mouser.co.uk/ProductDetail/Taiyo-Yuden/CBC3225T100KR?qs=I6KAKw0tg2xBtBHDie3dYA%3D%3D";"";"";
"LED1";"GREEN";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"68";"";
"LED2";"GREEN";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"68";"";
"LED3";"YELLOW";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"68";"";
"LED4";"ORANGE";"LEDCHIP-LED0805";"CHIP-LED0805";"LED";"";"";"";"";"";"";"";"";"68";"";
"Q1";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"13";"";
"Q2";"BC856ALT1SMD";"BC856ALT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";"";"";"";"0";"";
"Q3";"BC846";"BC846";"SOT23";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"13";"";
"Q4";"BC856ALT1SMD";"BC856ALT1SMD";"SOT23-BEC";"PNP Transistror";"";"";"";"";"";"";"";"";"0";"";
"R1";"330R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R2";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R3";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R4";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R5";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R6";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R7";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R8";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R9";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R10";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R11";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R12";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R13";"330R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R14";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R15";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R16";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R17";"10K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R18";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R19";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R20";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R21";"510R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R22";"8K66";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R23";"1K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R24";"150R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R25";"3K";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R26";"150R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R27";"510R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R28";"470R";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R29";"1K8";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R30";"4K7";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"R31";"4K7";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"86";"R";
"U1";"AP3012UKTR-E1";"AP3012UKTR-E1";"SOT95P280X145-5N";"IC REG BOOST ADJ 500MA SOT23-5";"AP3012UKTR-E1";"https://www.arrow.com/en/products/ap3012uktr-e1/diodes-incorporated";"IC REG BOOST ADJ 500MA SOT23-5";"1.45mm";"Diodes Inc.";"AP3012UKTR-E1";"621-AP3012UKTR-E1";"https://www.mouser.com/Search/Refine.aspx?Keyword=621-AP3012UKTR-E1";"";"";
"U2";"AP3012UKTR-E1";"AP3012UKTR-E1";"SOT95P280X145-5N";"IC REG BOOST ADJ 500MA SOT23-5";"AP3012UKTR-E1";"https://www.arrow.com/en/products/ap3012uktr-e1/diodes-incorporated";"IC REG BOOST ADJ 500MA SOT23-5";"1.45mm";"Diodes Inc.";"AP3012UKTR-E1";"621-AP3012UKTR-E1";"https://www.mouser.com/Search/Refine.aspx?Keyword=621-AP3012UKTR-E1";"";"";
